06月20日 17:32:57 : Validating ... 
06月20日 17:32:59 : Init Val @ Epoch:1, lr:0.0001, val_mse_loss: 9675.247863769531
06月20日 17:33:10 : Epoch 1/600, Iter 0/454, loss = 10790.85, lr = 0.00010000
06月20日 17:33:11 : Epoch 1/600, Iter 1/454, loss = 10095.04, lr = 0.00010000
06月20日 17:33:11 : Epoch 1/600, Iter 2/454, loss = 9603.14, lr = 0.00010000
06月20日 17:33:11 : Epoch 1/600, Iter 3/454, loss = 9293.45, lr = 0.00010000
06月20日 17:33:11 : Epoch 1/600, Iter 4/454, loss = 9188.00, lr = 0.00010000
06月20日 17:33:11 : Epoch 1/600, Iter 5/454, loss = 8651.62, lr = 0.00010000
06月20日 17:33:11 : Epoch 1/600, Iter 6/454, loss = 8413.72, lr = 0.00010000
06月20日 17:33:11 : Epoch 1/600, Iter 7/454, loss = 8346.46, lr = 0.00010000
06月20日 17:33:19 : Epoch 1/600, Iter 8/454, loss = 8028.27, lr = 0.00010000
06月20日 17:33:19 : Epoch 1/600, Iter 9/454, loss = 7849.59, lr = 0.00010000
06月20日 17:33:19 : Epoch 1/600, Iter 10/454, loss = 7625.01, lr = 0.00010000
06月20日 17:33:19 : Epoch 1/600, Iter 11/454, loss = 7541.72, lr = 0.00010000
06月20日 17:33:19 : Epoch 1/600, Iter 12/454, loss = 7408.39, lr = 0.00010000
06月20日 17:33:19 : Epoch 1/600, Iter 13/454, loss = 7256.65, lr = 0.00010000
06月20日 17:33:19 : Epoch 1/600, Iter 14/454, loss = 7148.00, lr = 0.00010000
06月20日 17:33:19 : Epoch 1/600, Iter 15/454, loss = 7005.49, lr = 0.00010000
06月20日 17:33:28 : Epoch 1/600, Iter 16/454, loss = 6917.95, lr = 0.00010000
06月20日 17:33:29 : Epoch 1/600, Iter 17/454, loss = 6803.15, lr = 0.00010000
06月20日 17:33:29 : Epoch 1/600, Iter 18/454, loss = 6697.89, lr = 0.00010000
06月20日 17:33:29 : Epoch 1/600, Iter 19/454, loss = 6620.23, lr = 0.00010000
06月20日 17:33:29 : Epoch 1/600, Iter 20/454, loss = 6530.16, lr = 0.00010000
06月20日 17:33:29 : Epoch 1/600, Iter 21/454, loss = 6458.13, lr = 0.00010000
06月20日 17:33:29 : Epoch 1/600, Iter 22/454, loss = 6405.23, lr = 0.00010000
06月20日 17:33:29 : Epoch 1/600, Iter 23/454, loss = 6366.56, lr = 0.00010000
06月20日 17:33:37 : Epoch 1/600, Iter 24/454, loss = 6316.39, lr = 0.00010000
06月20日 17:33:38 : Epoch 1/600, Iter 25/454, loss = 6301.47, lr = 0.00010000
06月20日 17:33:38 : Epoch 1/600, Iter 26/454, loss = 6217.53, lr = 0.00010000
06月20日 17:33:38 : Epoch 1/600, Iter 27/454, loss = 6177.35, lr = 0.00010000
06月20日 17:33:38 : Epoch 1/600, Iter 28/454, loss = 6102.24, lr = 0.00010000
06月20日 17:33:38 : Epoch 1/600, Iter 29/454, loss = 6083.45, lr = 0.00010000
06月20日 17:33:38 : Epoch 1/600, Iter 30/454, loss = 6052.51, lr = 0.00010000
06月20日 17:33:38 : Epoch 1/600, Iter 31/454, loss = 5983.46, lr = 0.00010000
