05月24日 09:56:13 : Epoch 1/90, Iter 0/219, loss = 3657.80, mse_loss = 3657.77, rate_loss = 0.03, rate_display = 0.11, lr = 0.00010000
05月24日 09:56:14 : Epoch 1/90, Iter 1/219, loss = 30712.36, mse_loss = 30712.35, rate_loss = 0.02, rate_display = 0.09, lr = 0.00010000
05月24日 09:56:14 : Epoch 1/90, Iter 2/219, loss = 23689.18, mse_loss = 23689.17, rate_loss = 0.01, rate_display = 0.08, lr = 0.00010000
05月24日 09:56:15 : Epoch 1/90, Iter 3/219, loss = 20811.20, mse_loss = 20811.19, rate_loss = 0.01, rate_display = 0.09, lr = 0.00010000
05月24日 09:56:15 : Epoch 1/90, Iter 4/219, loss = 20751.78, mse_loss = 20751.76, rate_loss = 0.02, rate_display = 0.10, lr = 0.00010000
05月24日 09:56:16 : Epoch 1/90, Iter 5/219, loss = 19520.98, mse_loss = 19520.95, rate_loss = 0.02, rate_display = 0.10, lr = 0.00010000
05月24日 09:56:16 : Epoch 1/90, Iter 6/219, loss = 17772.12, mse_loss = 17772.10, rate_loss = 0.03, rate_display = 0.11, lr = 0.00010000
05月24日 09:56:17 : Epoch 1/90, Iter 7/219, loss = 16508.64, mse_loss = 16508.61, rate_loss = 0.03, rate_display = 0.11, lr = 0.00010000
05月24日 09:56:17 : Epoch 1/90, Iter 8/219, loss = 15954.87, mse_loss = 15954.84, rate_loss = 0.04, rate_display = 0.11, lr = 0.00010000
05月24日 09:56:18 : Epoch 1/90, Iter 9/219, loss = 15369.46, mse_loss = 15369.42, rate_loss = 0.04, rate_display = 0.12, lr = 0.00010000
05月24日 09:56:19 : Epoch 1/90, Iter 10/219, loss = 14818.32, mse_loss = 14818.28, rate_loss = 0.04, rate_display = 0.12, lr = 0.00010000
05月24日 09:56:19 : Epoch 1/90, Iter 11/219, loss = 14217.53, mse_loss = 14217.48, rate_loss = 0.05, rate_display = 0.12, lr = 0.00010000
05月24日 09:56:20 : Epoch 1/90, Iter 12/219, loss = 13671.85, mse_loss = 13671.80, rate_loss = 0.05, rate_display = 0.12, lr = 0.00010000
05月24日 09:56:20 : Epoch 1/90, Iter 13/219, loss = 13170.76, mse_loss = 13170.71, rate_loss = 0.05, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:21 : Epoch 1/90, Iter 14/219, loss = 12790.56, mse_loss = 12790.51, rate_loss = 0.05, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:21 : Epoch 1/90, Iter 15/219, loss = 12462.56, mse_loss = 12462.51, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:22 : Epoch 1/90, Iter 16/219, loss = 12098.33, mse_loss = 12098.28, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:22 : Epoch 1/90, Iter 17/219, loss = 11787.03, mse_loss = 11786.97, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:23 : Epoch 1/90, Iter 18/219, loss = 11419.76, mse_loss = 11419.70, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:24 : Epoch 1/90, Iter 19/219, loss = 11126.42, mse_loss = 11126.36, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:24 : Epoch 1/90, Iter 20/219, loss = 10861.88, mse_loss = 10861.82, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:25 : Epoch 1/90, Iter 21/219, loss = 10631.42, mse_loss = 10631.36, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:25 : Epoch 1/90, Iter 22/219, loss = 10408.58, mse_loss = 10408.52, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:26 : Epoch 1/90, Iter 23/219, loss = 10209.64, mse_loss = 10209.57, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:56:26 : Epoch 1/90, Iter 24/219, loss = 10020.46, mse_loss = 10020.40, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:27 : Epoch 1/90, Iter 25/219, loss = 9858.81, mse_loss = 9858.75, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:27 : Epoch 1/90, Iter 26/219, loss = 9671.23, mse_loss = 9671.16, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:28 : Epoch 1/90, Iter 27/219, loss = 9478.23, mse_loss = 9478.16, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:29 : Epoch 1/90, Iter 28/219, loss = 9319.63, mse_loss = 9319.56, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:29 : Epoch 1/90, Iter 29/219, loss = 9155.39, mse_loss = 9155.32, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:30 : Epoch 1/90, Iter 30/219, loss = 9005.15, mse_loss = 9005.08, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:30 : Epoch 1/90, Iter 31/219, loss = 8869.33, mse_loss = 8869.26, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:31 : Epoch 1/90, Iter 32/219, loss = 8736.79, mse_loss = 8736.72, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:31 : Epoch 1/90, Iter 33/219, loss = 8599.41, mse_loss = 8599.33, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:32 : Epoch 1/90, Iter 34/219, loss = 8478.20, mse_loss = 8478.12, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:32 : Epoch 1/90, Iter 35/219, loss = 8359.22, mse_loss = 8359.15, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:33 : Epoch 1/90, Iter 36/219, loss = 8243.56, mse_loss = 8243.49, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
